,Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,price,usage Gaming and Design,usage Engineering,usage desk work,url
1056,"Acer Extensa 15 EX215-52-53XM Intel Core i5-1035G1/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i5,8,256,SSD,,15.6,No,1532.485,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/NsEAAOSwJZ9lf-T1/s-l225.jpg
1057,"MSI Prestige 16 A12UD-221XES Intel Core i7-1280P/16GB/1TB SSD/RTX 3050Ti/16"" + M31 Ratón Óptico 3600DPI",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 3050,16.0,No,5927.231,High,True,True,True,#
1058,"ASUS VivoBook 17 F1704VA-AU080W Intel Core i5-1335U/16GB/512GB SSD/17.3""",New,Asus,VivoBook,Intel Core i5,16,512,SSD,,17.3,No,2672.789,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/QGkAAOSwdhBkjDKO/s-l300.jpg
1059,"Apple MacBook Pro Intel Core i5/8GB/512GB SSD/13"" Plata",Refurbished,Apple,MacBook Pro,Intel Core i5,8,512,SSD,,13.0,No,2653.8480000000004,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/1fkAAOSwYCxhi~I1/s-l300.jpg
1060,"HP 15S-EQ2101NS AMD Ryzen 5 5500U/8GB/256GB SSD/15.6""",New,HP,15S,AMD Ryzen 5,8,256,SSD,,15.6,No,1482.606,Low,True,True,True,https://i.ebayimg.com/thumbs/images/g/ZpIAAOSwJqVlfzTx/s-l300.jpg
1061,"HP 15S-EQ2110NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,512,SSD,,15.6,No,1256.709,Low,True,True,True,https://i.ebayimg.com/thumbs/images/g/U3gAAOSwebNlg1O7/s-l300.jpg
1062,"HP 15S-FQ4102NS Intel Core i7-1195G7/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,8,512,SSD,,15.6,No,2277.384,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/eIcAAOSwvnVlbLdQ/s-l300.jpg
1063,"HP 255 G9 AMD Ryzen 5 5625U/8GB/512 GB SSD/15.6""",New,HP,255,AMD Ryzen 5,8,512,SSD,,15.6,No,1573.3429999999998,Medium,True,True,True,https://i.ebayimg.com/thumbs/images/g/~XYAAOSwGK9lb~pV/s-l300.jpg
1064,"Lenovo ThinkBook 13s G4 IAP Intel Core i7-1260P/16GB/512GB SSD/13.3""",New,Lenovo,ThinkBook,Intel Core i7,16,512,SSD,,13.3,No,3993.389,High,False,True,True,https://i.ebayimg.com/thumbs/images/g/dYYAAOSwJmFlfRjv/s-l300.jpg
1065,"ASUS VivoBook Pro 15 OLED K3500PC-L1293 Intel Core i5-11300H/16 GB/512GB SSD/RTX 3050/15.6""",Refurbished,Asus,VivoBook,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,3406.9,High,True,True,True,https://i.ebayimg.com/thumbs/images/g/fBYAAOSwB4hlgiw9/s-l300.jpg
1066,"Lenovo V15 G3 IAP Intel Core i7-1255U/8GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i7,8,512,SSD,,15.6,No,2800.23,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/4gIAAOSwaQhkl6gt/s-l300.jpg
1067,"Microsoft Surface Pro 9 Platino Intel Evo Core i5-1235U/8GB/256GB SSD/13"" Táctil",New,Microsoft,Surface Pro,Intel Evo Core i5,8,256,SSD,,13.0,Yes,4011.183,High,False,False,True,https://i.ebayimg.com/thumbs/images/g/CpkAAOSwLx1lgdxs/s-l300.jpg
1068,"Apple MacBook Air Intel Core i5 1.6GHz/8GB/256GB SSD/13.3"" Retina Plata",Refurbished,Apple,MacBook Air,Intel Core i5,8,256,SSD,,13.3,No,2032.856,Medium,False,False,True,https://i.ebayimg.com/thumbs/images/g/Oz0AAOSwT2JlahMA/s-l300.jpg
1069,"Apple MacBook Air Intel Core i5/16GB/512GB SSD/13.3"" Dorado Rosa",Refurbished,Apple,MacBook Air,Intel Core i5,16,512,SSD,,13.3,No,2743.469,Medium,False,True,True,https://i.ebayimg.com/thumbs/images/g/FvgAAOSwje9lHrOG/s-l300.jpg
1070,"Apple MacBook Pro Apple M1/8GB/256GB SSD/13.3"" Gris Espacial",Refurbished,Apple,MacBook Pro,Apple M1,8,256,SSD,,13.3,No,3192.256,High,False,False,True,https://i.ebayimg.com/thumbs/images/g/q7wAAOSwO0plV-72/s-l225.jpg
1071,"HP ProBook 430 G5 Intel Core i5-8250U/8GB/256GB SSD/13.3""",Refurbished,HP,ProBook,Intel Core i5,8,256,SSD,,13.3,No,1280.3,Low,False,False,True,https://i.ebayimg.com/thumbs/images/g/MJoAAOSw2kFk-scB/s-l300.jpg
